	DepressionID	P
732	30407	0.13
733	30378	0.13
734	30330	0.13
735	30475	0.13
736	30128	0.13
737	30199	0.13
738	30283	0.13
739	30400	0.13
740	29946	0.13
741	30454	0.13
742	30032	0.13
743	30124	0.13
744	30155	0.13
745	30092	0.13
746	30158	0.13
747	30105	0.13
748	30174	0.13
749	30344	0.13
750	30018	0.13
751	30499	0.13
752	30290	0.13
753	30487	0.13
754	30062	0.13
755	30129	0.13
756	30405	0.13
757	30413	0.13
758	30390	0.13
759	166437	0.13
760	30143	0.13
761	29976	0.13
762	30145	0.13
763	30435	0.13
764	30051	0.13
765	30277	0.13
766	30358	0.13
767	30287	0.13
768	30365	0.13
769	30100	0.13
770	30127	0.13
771	30479	0.13
772	30099	0.13
773	29991	0.13
774	30323	0.13
775	30303	0.13
776	30299	0.13
777	30343	0.13
778	30339	0.13
779	30231	0.13
780	30138	0.13
781	30019	0.13
782	30497	0.13
783	30136	0.13
784	30398	0.13
785	30423	0.13
786	30443	0.13
787	30154	0.13
788	30082	0.13
789	30392	0.13
790	30385	0.13
791	30493	0.13
792	30403	0.13
793	30300	0.13
794	30238	0.13
795	30157	0.13
796	30501	0.13
797	30131	0.13
798	30402	0.13
799	30075	0.13
800	30002	0.13
801	30492	0.13
802	30391	0.13
803	30159	0.13
804	30411	0.13
805	30510	0.14
806	30508	0.14
807	30397	0.14
808	30289	0.14
809	30468	0.14
810	116679	0.14
811	30258	0.14
812	30511	0.14
813	30190	0.14
814	30181	0.14
815	30232	0.14
816	30524	0.14
817	30241	0.14
818	30564	0.14
819	30436	0.14
820	30534	0.14
821	30532	0.14
822	30265	0.14
823	116031	0.14
824	116599	0.14
825	116721	0.14
826	30526	0.14
827	30500	0.14
828	30346	0.14
829	117041	0.14
830	30519	0.14
831	30408	0.14
832	116287	0.14
833	117262	0.14
834	30120	0.14
835	30212	0.14
836	30140	0.14
837	30176	0.14
838	30121	0.14
839	30196	0.14
840	117000	0.14
841	30530	0.14
842	30163	0.14
843	30513	0.14
844	116776	0.14
845	117379	0.14
846	30248	0.14
847	30575	0.14
848	117124	0.14
849	30016	0.14
850	30254	0.14
851	30552	0.14
852	29968	0.14
853	30523	0.14
854	30512	0.14
855	30502	0.14
856	30370	0.14
857	116992	0.14
858	30525	0.14
859	30466	0.14
860	30522	0.14
861	30354	0.14
862	118120	0.14
863	30211	0.14
864	30225	0.14
865	116933	0.14
866	117109	0.14
867	29981	0.14
868	30517	0.14
869	30024	0.14
870	30279	0.14
871	166435	0.14
872	30119	0.14
873	30431	0.14
874	30445	0.14
875	166908	0.14
876	166970	0.14
877	166971	0.14
878	30337	0.14
879	30482	0.14
880	30407	0.14
881	30378	0.14
882	30330	0.14
883	30475	0.14
884	30128	0.14
885	30199	0.14
